max_depth,min_child_weight,gamma,subsample,colsample_bytree,lambda,alpha,valid_ndcg@5,best_iteration
6,5,1,0.85,1.0,1.0,0.5,0.4036288187419152,327
4,5,1,1.0,0.8,0.5,0.0,0.4030910869123395,633
4,5,0,0.85,0.8,1.0,0.5,0.4029474151246589,690
6,5,0,1.0,0.8,0.5,0.0,0.4028980120924863,322
4,10,0,0.85,1.0,0.5,0.5,0.4028461153839661,702
4,10,0,0.85,0.8,0.5,0.0,0.40276215752407574,678
6,5,1,1.0,1.0,1.0,0.5,0.40275562601663395,451
6,5,1,1.0,0.8,1.0,0.0,0.4027368674162676,333
6,5,1,1.0,1.0,0.5,0.0,0.4027271788968343,350
6,5,0,1.0,0.8,1.0,0.5,0.40265852693416687,342
4,5,0,1.0,0.8,1.0,0.5,0.4025855791460532,574
4,10,0,1.0,1.0,1.0,0.5,0.4025623853511835,614
6,5,1,0.85,0.8,1.0,0.0,0.40246718911110857,301
6,5,0,0.85,0.8,0.5,0.0,0.4024193726882798,387
6,10,1,1.0,1.0,0.5,0.0,0.4023938159780587,363
4,10,1,0.85,0.8,1.0,0.0,0.40225229743568297,605
4,10,0,1.0,0.8,0.5,0.0,0.4022485082959698,600
4,10,1,1.0,1.0,0.5,0.0,0.402239325381136,575
6,10,1,1.0,1.0,1.0,0.5,0.4022243687084805,357
6,5,1,1.0,0.8,1.0,0.5,0.40222310235426373,302
6,5,1,0.85,0.8,0.5,0.5,0.4021863032803807,392
6,10,1,0.85,1.0,1.0,0.5,0.4021107153673182,379
4,5,0,0.85,1.0,1.0,0.0,0.40208998373053645,628
6,10,1,1.0,0.8,0.5,0.0,0.4020156862484572,359
4,10,0,1.0,0.8,1.0,0.0,0.40200204933481154,545
6,10,0,1.0,0.8,1.0,0.5,0.40198602056617705,300
4,10,1,1.0,1.0,1.0,0.5,0.40195765153835644,609
6,5,0,0.85,0.8,1.0,0.0,0.4019205766407901,299
4,10,1,0.85,1.0,1.0,0.0,0.4019162745230932,601
6,10,0,0.85,1.0,1.0,0.5,0.40179593948558495,362
6,10,1,0.85,0.8,1.0,0.5,0.40177065710968857,352
6,5,0,0.85,0.8,1.0,0.5,0.40176033130581845,365
6,5,1,0.85,1.0,0.5,0.5,0.4017259714843879,433
4,10,0,0.85,1.0,1.0,0.5,0.4016460749299259,611
4,10,0,0.85,0.8,0.5,0.5,0.4016083480168643,625
6,10,1,0.85,1.0,0.5,0.5,0.4016054430667224,277
6,5,0,0.85,1.0,1.0,0.5,0.40152626225337756,240
6,5,0,1.0,1.0,0.5,0.5,0.4014761313667322,280
6,10,1,1.0,0.8,1.0,0.5,0.40144459787601733,303
6,10,0,0.85,1.0,0.5,0.5,0.40143086392434213,316
6,5,1,0.85,1.0,0.5,0.0,0.4013600204739487,303
4,10,0,0.85,1.0,0.5,0.0,0.4013593874476007,551
4,10,1,1.0,1.0,1.0,0.0,0.4013368525627143,568
6,5,0,1.0,0.8,1.0,0.0,0.4013169332009182,295
6,5,0,0.85,0.8,0.5,0.5,0.4012946402001924,305
6,10,0,1.0,0.8,0.5,0.5,0.401260531998717,263
4,5,1,1.0,0.8,1.0,0.5,0.4012154532234005,534
6,5,1,1.0,1.0,1.0,0.0,0.4012044038725794,373
4,10,1,1.0,0.8,0.5,0.0,0.4011808650010751,583
6,5,1,0.85,0.8,0.5,0.0,0.40114962773179735,261
6,10,0,1.0,0.8,1.0,0.0,0.4011448375352322,235
6,10,0,0.85,0.8,1.0,0.5,0.4011113987207994,303
4,5,1,0.85,1.0,1.0,0.0,0.40108150680818566,560
6,5,1,0.85,1.0,1.0,0.0,0.4009542865511765,414
6,10,1,0.85,1.0,0.5,0.0,0.40093580107417187,217
4,10,1,0.85,0.8,0.5,0.5,0.4009167228309384,481
6,10,1,0.85,1.0,1.0,0.0,0.4009005759512625,219
4,10,1,0.85,1.0,0.5,0.0,0.40089699999489053,513
6,5,0,0.85,1.0,0.5,0.0,0.4008927520310642,212
4,5,1,0.85,0.8,0.5,0.0,0.40085878624617555,474
6,5,0,1.0,0.8,0.5,0.5,0.4008391837342093,213
6,10,0,1.0,0.8,0.5,0.0,0.4008388612572964,300
4,10,0,0.85,0.8,1.0,0.0,0.40083145784987745,527
4,5,0,0.85,0.8,1.0,0.0,0.4008292109028047,496
6,10,0,1.0,1.0,1.0,0.0,0.40079540944075426,276
6,10,0,0.85,1.0,0.5,0.0,0.40074001096721124,304
4,5,1,0.85,1.0,0.5,0.0,0.4006617888019319,541
6,10,1,1.0,0.8,1.0,0.0,0.4006103995069212,211
8,10,0,1.0,0.8,1.0,0.5,0.4005851752153008,186
6,10,1,1.0,0.8,0.5,0.5,0.40058379214918094,325
6,5,1,1.0,0.8,0.5,0.0,0.40057821429366247,306
6,5,0,0.85,1.0,1.0,0.0,0.40057377925432497,283
6,5,0,1.0,1.0,1.0,0.5,0.4005564865630785,211
4,5,1,0.85,0.8,0.5,0.5,0.4004994182214612,479
6,10,0,0.85,0.8,0.5,0.0,0.4004659328315088,265
4,5,0,0.85,1.0,0.5,0.0,0.40045492514858094,501
4,10,1,0.85,1.0,1.0,0.5,0.40044803347281643,546
6,5,0,1.0,1.0,0.5,0.0,0.40044010963271964,240
4,5,0,1.0,1.0,1.0,0.5,0.40034897586592816,519
6,5,1,1.0,0.8,0.5,0.5,0.4003229550113821,318
